alloc,,clusters,,tasksAlloc,,file
1,,[[r2, r3, r1], [r4, r5]],,{r2=[at4_6, at4_3, at4_21, at4_24, at3_25, at3_7, at3_4, at3_19, at3_22], r3=[at4_15, at4_18, at4_9, at4_27, at4_12, at3_28, at3_10, at3_13, at3_16, at2_11, at2_14, at2_20, at2_23, at2_26, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2], r1=[at2_17, at2_8, at2_5]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1.xml
2,,[[r2, r3, r1], [r4, r5]],,{r2=[at4_6, at4_3], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_25, at3_28, at3_13, at3_16, at3_22, at2_11, at2_14, at2_17], r4=[at1_1, at1_2], r5=[at1_1, at1_2], r1=[at3_7, at3_4, at3_10, at3_19, at2_8, at2_5, at2_20, at2_23, at2_26, at2_29]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation2.xml
3,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_6, at4_9, at4_3, at4_21, at4_24, at4_27, at3_25, at3_7, at3_4, at2_8, at2_5, at2_23, at2_26, at2_29], r3=[at4_18, at4_12, at3_28, at3_10, at3_13, at3_16, at3_19, at3_22, at2_11, at2_14, at2_17, at2_20], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation3.xml
350,,[[r2, r3], [r4, r5]],,{r2=[at4_18, at4_6, at4_3, at4_27, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_23, at2_26], r3=[at4_15, at4_9, at4_21, at4_24, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation350.xml
351,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_6, at4_3, at4_27, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_23, at2_26], r3=[at4_18, at4_9, at4_21, at4_24, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation351.xml
352,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_23, at2_26], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation352.xml
353,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_21, at4_24, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_23, at2_26], r3=[at4_15, at4_18, at4_9, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation353.xml
354,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_24, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_8, at2_5, at2_23, at2_26], r3=[at4_15, at4_18, at4_9, at4_21, at4_27, at4_12, at3_13, at2_11, at2_14, at2_17, at2_20, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation354.xml
355,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_9, at4_3, at4_24, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_23, at2_26], r3=[at4_15, at4_18, at4_21, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation355.xml
356,,[[r2, r3], [r4, r5]],,{r2=[at4_18, at4_6, at4_3, at4_24, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_23, at2_26], r3=[at4_15, at4_9, at4_21, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation356.xml
357,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_24, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_23, at2_26], r3=[at4_15, at4_18, at4_9, at4_21, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation357.xml
358,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_6, at4_3, at4_24, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_23, at2_26], r3=[at4_18, at4_9, at4_21, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation358.xml
359,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_8, at2_5, at2_23, at2_26], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at2_11, at2_14, at2_17, at2_20, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation359.xml
360,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_9, at4_3, at4_21, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_23, at2_26], r3=[at4_15, at4_18, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation360.xml
361,,[[r2, r3], [r4, r5]],,{r2=[at4_18, at4_6, at4_3, at4_21, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_23, at2_26], r3=[at4_15, at4_9, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation361.xml
362,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_21, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_23, at2_26], r3=[at4_15, at4_18, at4_9, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation362.xml
363,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_6, at4_3, at4_21, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_23, at2_26], r3=[at4_18, at4_9, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation363.xml
364,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_21, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_8, at2_5, at2_23, at2_26], r3=[at4_15, at4_18, at4_9, at4_24, at4_27, at4_12, at3_13, at2_11, at2_14, at2_17, at2_20, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation364.xml
365,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_8, at2_5, at2_23, at2_26], r3=[at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at2_11, at2_14, at2_17, at2_20, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation365.xml
366,,[[r2, r3], [r4, r5]],,{r2=[at4_18, at4_6, at4_9, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_23, at2_26], r3=[at4_15, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation366.xml
367,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_9, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_23, at2_26], r3=[at4_15, at4_18, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation367.xml
368,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_6, at4_9, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_23, at2_26], r3=[at4_18, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation368.xml
369,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_9, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_8, at2_5, at2_23, at2_26], r3=[at4_15, at4_18, at4_21, at4_24, at4_27, at4_12, at3_13, at2_11, at2_14, at2_17, at2_20, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation369.xml
370,,[[r2, r3], [r4, r5]],,{r2=[at4_18, at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_8, at2_5, at2_23, at2_26], r3=[at4_15, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at2_11, at2_14, at2_17, at2_20, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation370.xml
371,,[[r2, r3], [r4, r5]],,{r2=[at4_18, at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_8, at2_5, at2_26], r3=[at4_15, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at2_11, at2_14, at2_17, at2_20, at2_23, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation371.xml
372,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_27, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_17, at2_8, at2_5, at2_20, at2_26], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_12, at3_13, at3_22, at2_11, at2_14, at2_23, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation372.xml
373,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_11, at2_17, at2_8, at2_5, at2_20, at2_26], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_14, at2_23, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation373.xml
374,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_17, at2_8, at2_5, at2_20, at2_26], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_23, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation374.xml
375,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_24, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_17, at2_8, at2_5, at2_20, at2_26], r3=[at4_15, at4_18, at4_9, at4_21, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_23, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation375.xml
376,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_21, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_17, at2_8, at2_5, at2_20, at2_26], r3=[at4_15, at4_18, at4_9, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_23, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation376.xml
377,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_17, at2_8, at2_5, at2_20, at2_26], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at2_11, at2_14, at2_23, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation377.xml
378,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_9, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_17, at2_8, at2_5, at2_20, at2_26], r3=[at4_15, at4_18, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_23, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation378.xml
379,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_17, at2_8, at2_5, at2_20, at2_26], r3=[at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_23, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation379.xml
380,,[[r2, r3], [r4, r5]],,{r2=[at4_18, at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_17, at2_8, at2_5, at2_20, at2_26], r3=[at4_15, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_23, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation380.xml
381,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_8, at2_5, at2_20, at2_26], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at2_11, at2_14, at2_17, at2_23, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation381.xml
382,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_27, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_11, at2_8, at2_5, at2_20, at2_26], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_12, at3_13, at3_22, at2_14, at2_17, at2_23, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation382.xml
383,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_24, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_11, at2_8, at2_5, at2_20, at2_26], r3=[at4_15, at4_18, at4_9, at4_21, at4_27, at4_12, at3_13, at3_22, at2_14, at2_17, at2_23, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation383.xml
384,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_11, at2_8, at2_5, at2_20, at2_26], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at2_14, at2_17, at2_23, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation384.xml
385,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_21, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_11, at2_8, at2_5, at2_20, at2_26], r3=[at4_15, at4_18, at4_9, at4_24, at4_27, at4_12, at3_13, at3_22, at2_14, at2_17, at2_23, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation385.xml
386,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_11, at2_8, at2_5, at2_20, at2_26], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_14, at2_17, at2_23, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation386.xml
387,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_9, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_11, at2_8, at2_5, at2_20, at2_26], r3=[at4_15, at4_18, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_14, at2_17, at2_23, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation387.xml
388,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_11, at2_8, at2_5, at2_20, at2_26], r3=[at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_14, at2_17, at2_23, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation388.xml
389,,[[r2, r3], [r4, r5]],,{r2=[at4_18, at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_11, at2_8, at2_5, at2_20, at2_26], r3=[at4_15, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_14, at2_17, at2_23, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation389.xml
390,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_20, at2_26], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_23, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation390.xml
391,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_24, at4_27, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_20, at2_26], r3=[at4_15, at4_18, at4_9, at4_21, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_23, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation391.xml
392,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_27, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_20, at2_26], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_23, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation392.xml
393,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_21, at4_27, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_20, at2_26], r3=[at4_15, at4_18, at4_9, at4_24, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_23, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation393.xml
